age,F,M,meanTIV_F,meanTIV_M
18,40,48,1392.25575,1565.05229166667
19,53,48,1391.03886792453,1553.77645833333
20,58,55,1395.30362068966,1545.15472727273
21,62,55,1377.75322580645,1524.71509090909
22,64,56,1378.77375,1528.02839285714
23,67,54,1369.33029850746,1525.61462962963
24,58,49,1358.07189655172,1537.99469387755
25,51,44,1358.58666666667,1542.03909090909
26,44,35,1366.19795454545,1547.72914285714
27,40,33,1345.13775,1547.79606060606
28,33,35,1344.17636363636,1542.91742857143
29,29,30,1348.14586206897,1559.781
30,27,26,1358.05555555556,1556.74230769231
31,27,23,1348.10074074074,1556.65347826087
32,30,21,1346.39633333333,1565.44857142857
33,29,18,1341.51517241379,1555.54166666667
34,26,19,1342.17692307692,1529.48526315789
35,28,16,1317.71535714286,1517.859375
36,29,19,1328.90896551724,1543.48052631579
37,28,17,1319.355,1533.82470588235
38,31,17,1318.78193548387,1552.69764705882
39,34,15,1322.87823529412,1549.65
40,42,17,1338.96119047619,1550.26411764706
41,45,15,1328.96222222222,1538.802
42,57,18,1339.92754385965,1526.53166666667
43,61,19,1342.77573770492,1539.46684210526
44,62,22,1351.25822580645,1531.62818181818
45,60,20,1340.59233333333,1527.0745
46,62,17,1359.14838709677,1516.49411764706
47,65,18,1367.34446153846,1517.93888888889
48,63,21,1377.24063492064,1505.15619047619
49,68,20,1384.0575,1525.2445
50,74,18,1374.99054054054,1537.06388888889
51,79,19,1369.89658227848,1533.13
52,68,16,1375.70588235294,1542.355625
53,71,14,1366.57070422535,1556.61071428571
54,75,10,1356.27,1540.307
55,69,18,1357.64797101449,1537.80388888889
56,65,19,1344.65630769231,1515.19526315789
57,65,22,1332.48415384615,1514.46727272727
58,64,20,1337.35171875,1516.2725
59,56,26,1327.63035714286,1526.36807692308
60,55,19,1340.79090909091,1526.16578947368
61,54,19,1344.05740740741,1524.57368421053
62,50,22,1349.7182,1543.28590909091
63,49,24,1355.82102040816,1541.52458333333
64,54,23,1358.98277777778,1539.46739130435
65,49,26,1365.75959183674,1545.165
66,47,26,1377.5629787234,1550.49192307692
67,47,27,1373.9,1543.3637037037
68,44,27,1371.5225,1527.91851851852
69,42,25,1382.64214285714,1515.8924
70,37,22,1370.92621621622,1491.99772727273
71,28,20,1360.20178571429,1511.2315
72,26,12,1368.96576923077,1477.25916666667
73,26,11,1365.99346153846,1480.85545454545
74,17,10,1342.80882352941,1505.218
75,17,10,1363.16,1529.427
